epic_name,tm_name,epic_candname,pl_name,ra,ra_err,ra_str,dec,dec_err,dec_str,k2c_disp,k2c_refdisp,k2c_reflink,k2c_note,k2c_recentflag,k2_campaign_str,st_plx,st_plxerr1,st_plxerr2,st_plxlim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_metfe,st_metfeerr1,st_metfeerr2,st_metfelim,st_metratio,st_rad,st_raderr1,st_raderr2,st_radlim,st_vsini,st_vsinierr1,st_vsinierr2,st_vsinilim,st_kep,st_keperr,st_keplim,st_bj,st_bjerr,st_bjlim,st_vj,st_vjerr,st_vjlim,st_us,st_userr,st_uslim,st_gs,st_gserr,st_gslim,st_rs,st_rserr,st_rslim,st_is,st_iserr,st_islim,st_zs,st_zserr,st_zslim,st_j2,st_j2err,st_j2lim,st_h2,st_h2err,st_h2lim,st_k2,st_k2err,st_k2lim,st_wise1,st_wise1err,st_wise1lim,st_wise2,st_wise2err,st_wise2lim,st_wise3,st_wise3err,st_wise3lim,st_wise4,st_wise4err,st_wise4lim,st_bmvj,st_bmvjerr,st_bmvjlim,st_jmh2,st_jmh2err,st_jmh2lim,st_hmk2,st_hmk2err,st_hmk2lim,st_jmk2,st_jmk2err,st_jmk2lim,pl_fppprob,pl_fppproblim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_tranflag
EPIC 206026904,2MASS J22151722-1402593,EPIC 206026904.01,K2-58 b,333.821808,0.000000,22h15m17.23s,-14.049808,0.000000,-14d02m59.3s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,4998.00,,,0,,,,,,,,,,0.76,,,0,,,,,12.150,,0,13.317,0.020,0,12.378,0.030,0,,,,12.808,0.040,0,12.072,0.030,0,11.868,0.110,0,,,,10.765,0.022,0,10.314,0.023,0,10.215,0.021,0,10.190,0.024,0,10.257,0.020,0,10.177,0.063,0,9.110,,-1,0.939,0.036,0,0.451,0.032,0,0.099,0.031,0,0.550,0.030,0,,,7.05252730,,,0,2456979.923000,,,0,0.100000,,,0,0.0816667,,,0,,,,,0.5300,,,0,,,,,0.02945,,,0,0.234,,,0,2.620,,,0,,,,,1
EPIC 206026904,2MASS J22151722-1402593,EPIC 206026904.02,K2-58 c,333.821808,0.000000,22h15m17.23s,-14.049808,0.000000,-14d02m59.3s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,4998.00,,,0,,,,,,,,,,0.76,,,0,,,,,12.150,,0,13.317,0.020,0,12.378,0.030,0,,,,12.808,0.040,0,12.072,0.030,0,11.868,0.110,0,,,,10.765,0.022,0,10.314,0.023,0,10.215,0.021,0,10.190,0.024,0,10.257,0.020,0,10.177,0.063,0,9.110,,-1,0.939,0.036,0,0.451,0.032,0,0.099,0.031,0,0.550,0.030,0,,,2.53704220,,,0,2456979.587000,,,0,0.039300,,,0,0.0870833,,,0,,,,,0.2600,,,0,,,,,0.01776,,,0,0.146,,,0,1.640,,,0,,,,,1
EPIC 206026904,2MASS J22151722-1402593,EPIC 206026904.03,K2-58 d,333.821808,0.000000,22h15m17.23s,-14.049808,0.000000,-14d02m59.3s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,4998.00,,,0,,,,,,,,,,0.76,,,0,,,,,12.150,,0,13.317,0.020,0,12.378,0.030,0,,,,12.808,0.040,0,12.072,0.030,0,11.868,0.110,0,,,,10.765,0.022,0,10.314,0.023,0,10.215,0.021,0,10.190,0.024,0,10.257,0.020,0,10.177,0.063,0,9.110,,-1,0.939,0.036,0,0.451,0.032,0,0.099,0.031,0,0.550,0.030,0,,,22.88114500,,,0,2456998.068000,,,0,0.046200,,,0,0.1345833,,,0,,,,,0.6300,,,0,,,,,0.02049,,,0,0.159,,,0,1.780,,,0,,,,,1
EPIC 206027655,2MASS J22354616-1401398,EPIC 206027655.01,K2-59 b,338.942352,0.000000,22h35m46.16s,-14.027745,0.000000,-14d01m39.9s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,4775.00,,,0,,,,,,,,,,0.73,,,0,,,,,13.869,,0,15.129,0.040,0,14.226,0.030,0,,,,14.647,0.010,0,13.904,0.010,0,13.536,0.090,0,,,,12.454,0.023,0,11.981,0.021,0,11.838,0.023,0,11.799,0.022,0,11.860,0.022,0,11.762,0.302,0,8.895,,-1,0.903,0.050,0,0.473,0.031,0,0.143,0.031,0,0.616,0.033,0,,,20.69845300,,,0,2456987.055000,,,0,0.115000,,,0,0.1220833,,,0,,,,,0.6800,,,0,,,,,0.03279,,,0,0.240,,,0,2.690,,,0,,,,,1
EPIC 206027655,2MASS J22354616-1401398,EPIC 206027655.02,K2-59 c,338.942352,0.000000,22h35m46.16s,-14.027745,0.000000,-14d01m39.9s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,4775.00,,,0,,,,,,,,,,0.73,,,0,,,,,13.869,,0,15.129,0.040,0,14.226,0.030,0,,,,14.647,0.010,0,13.904,0.010,0,13.536,0.090,0,,,,12.454,0.023,0,11.981,0.021,0,11.838,0.023,0,11.799,0.022,0,11.860,0.022,0,11.762,0.302,0,8.895,,-1,0.903,0.050,0,0.473,0.031,0,0.143,0.031,0,0.616,0.033,0,,,11.29515800,,,0,2456986.710000,,,0,0.096700,,,0,0.0800000,,,0,,,,,0.8900,,,0,,,,,0.03468,,,0,0.220,,,0,2.470,,,0,,,,,1
EPIC 206028176,2MASS J22011206-1400524,EPIC 206028176.01,,330.300293,0.000000,22h01m12.07s,-14.014557,0.000000,-14d00m52.4s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,6305.00,,,0,,,,,,,,,,1.39,,,0,,,,,12.244,,0,12.769,0.030,0,12.281,0.020,0,,,,12.469,0.060,0,12.170,0.010,0,12.080,0.020,0,,,,11.318,0.024,0,11.121,0.022,0,11.075,0.021,0,11.018,0.023,0,11.066,0.022,0,10.931,0.120,0,8.458,,-1,0.488,0.036,0,0.197,0.033,0,0.046,0.030,0,0.243,0.032,0,,,9.38134020,,,0,2456988.130000,,,0,0.035800,,,0,0.2033333,,,0,,,,,0.2400,,,0,,,,,0.01745,,,0,0.255,,,0,2.860,,,0,,,,,1
EPIC 206029450,2MASS J22233189-1358465,EPIC 206029450.01,,335.882935,0.000000,22h23m31.90s,-13.979621,0.000000,-13d58m46.6s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,1,3,,,,,,,,,4335.00,,,0,,,,,,,,,,0.67,,,0,,,,,15.504,,0,,,,,,,,,,,,,,,,,,,,,,13.591,0.025,0,12.897,0.025,0,12.834,0.029,0,12.725,0.024,0,12.711,0.026,0,11.885,,-1,8.881,,-1,,,,0.694,0.035,0,0.063,0.038,0,0.757,0.038,0,,,4.23049590,,,0,2456980.943000,,,0,0.123000,,,0,0.0866667,,,0,,,,,0.1300,,,0,,,,,0.03081,,,0,0.228,,,0,2.560,,,0,,,,,1
EPIC 206032309,2MASS J22445778-1354031,EPIC 206032309.01,,341.240692,0.000000,22h44m57.77s,-13.900921,0.000000,-13d54m03.3s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,1,3,,,,,,,,,2989.00,,,0,,,,,,,,,,0.18,,,0,,,,,15.782,,0,,,,,,,,,,,,,,,,,,,,,,13.429,0.024,0,12.859,0.027,0,12.538,0.026,0,,,,,,,,,,,,,,,,0.570,0.036,0,0.321,0.037,0,0.891,0.035,0,,,4.11076340,,,0,2456982.769000,,,0,0.263000,,,0,0.0545833,,,0,,,,,0.0000,,,0,,,,,0.04665,,,0,0.090,,,0,1.010,,,0,,,,,1
EPIC 206038483,2MASS J22342548-1343541,EPIC 206038483.01,K2-60 b,338.606171,0.000000,22h34m25.48s,-13.731702,0.000000,-13d43m54.1s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,5425.00,,,0,,,,,,,,,,0.86,,,0,,,,,12.590,,0,13.562,0.010,0,12.789,0.020,0,,,,13.117,0.030,0,12.567,0.041,0,12.364,0.050,0,,,,11.410,0.021,0,11.085,0.025,0,10.993,0.021,0,10.983,0.023,0,11.019,0.021,0,10.919,0.122,0,8.972,,-1,0.773,0.022,0,0.325,0.033,0,0.092,0.033,0,0.417,0.030,0,,,3.00263760,,,0,2456982.060000,,,0,0.479000,,,0,0.1295833,,,0,,,,,0.1900,,,0,,,,,0.06240,,,0,0.575,,,0,6.450,,,0,,,,,1
EPIC 206042996,2MASS J22300326-1336364,EPIC 206042996.01,,337.513580,0.000000,22h30m03.26s,-13.610113,0.000000,-13d36m36.4s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,1,3,,,,,,,,,3893.00,,,0,,,,,,,,,,0.57,,,0,,,,,16.061,,0,18.347,0.240,0,16.743,0.089,0,,,,17.370,0.130,0,16.004,0.020,0,15.500,0.090,0,,,,13.964,0.025,0,13.253,0.028,0,13.071,0.033,0,13.040,0.024,0,13.081,0.030,0,11.794,,-1,8.615,,-1,1.604,0.256,0,0.711,0.038,0,0.182,0.043,0,0.893,0.041,0,,,0.35490972,,,0,2456979.732000,,,0,0.055300,,,0,0.0445833,,,0,,,,,0.2500,,,0,,,,,0.02145,,,0,0.129,,,0,1.450,,,0,,,,,1
EPIC 206044803,2MASS J22384194-1333360,EPIC 206044803.01,K2-61 b,339.674744,0.000000,22h38m41.94s,-13.560024,0.000000,-13d33m36.1s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,5680.00,,,0,,,,,,,,,,0.95,,,0,,,,,12.975,,0,13.689,0.050,0,12.991,0.020,0,,,,13.292,0.040,0,12.824,0.010,0,12.839,0.460,0,,,,11.758,0.022,0,11.423,0.021,0,11.385,0.024,0,11.328,0.023,0,11.378,0.021,0,11.173,0.168,0,8.608,,-1,0.698,0.054,0,0.335,0.030,0,0.038,0.032,0,0.373,0.033,0,,,2.57353520,,,0,2456980.638000,,,0,0.034800,,,0,0.1087500,,,0,,,,,0.3000,,,0,,,,,0.01706,,,0,0.173,,,0,1.940,,,0,,,,,1
EPIC 206049452,2MASS J22180636-1326145,EPIC 206049452.01,,334.526550,0.000000,22h18m06.37s,-13.437336,0.000000,-13d26m14.4s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,1,3,,,,,,,,,4521.00,,,0,,,,,,,,,,0.70,,,0,,,,,13.130,,0,,,,,,,,,,,,,,,,,,,,,,11.411,0.023,0,10.800,0.024,0,10.717,0.025,0,10.513,0.023,0,10.550,0.021,0,10.469,0.076,0,8.878,0.494,0,,,,0.611,0.033,0,0.083,0.035,0,0.694,0.034,0,,,14.45449500,,,0,2456989.197000,,,0,0.084300,,,0,0.0920833,,,0,,,,,0.7600,,,0,,,,,0.02923,,,0,0.197,,,0,2.210,,,0,,,,,1
EPIC 206049764,2MASS J22092179-1325438,EPIC 206049764.01,K2-171 b,332.340820,0.000000,22h09m21.80s,-13.428865,0.000000,-13d25m43.9s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,0,3,,,,,,,,,5032.00,,,0,,,,,,,,,,0.77,,,0,,,,,12.445,,0,13.525,0.020,0,12.660,0.040,0,,,,13.073,0.010,0,12.396,0.020,0,12.176,0.020,0,,,,11.101,0.024,0,10.614,0.023,0,10.529,0.025,0,10.459,0.023,0,10.522,0.020,0,10.420,0.093,0,8.898,,-1,0.865,0.045,0,0.487,0.033,0,0.085,0.034,0,0.572,0.035,0,,,5.63159150,,,0,2456979.452000,,,0,0.021700,,,0,0.2795833,,,0,,,,,0.5400,,,0,,,,,0.01372,,,0,0.110,,,0,1.230,,,0,,,,,1
EPIC 206055981,2MASS J22312613-1315528,EPIC 206055981.01,,337.858917,0.000000,22h31m26.14s,-13.264627,0.000000,-13d15m52.7s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,1,3,,,,,,,,,4396.00,,,0,,,,,,,,,,0.68,,,0,,,,,13.418,,0,14.939,0.020,0,13.803,0.010,0,,,,14.398,0.010,0,13.360,0.020,0,12.997,0.050,0,,,,11.666,0.023,0,11.087,0.024,0,10.957,0.023,0,10.873,0.024,0,10.933,0.021,0,10.994,0.120,0,8.916,,-1,1.136,0.022,0,0.579,0.033,0,0.130,0.033,0,0.709,0.033,0,,,20.64392800,,,0,2456997.393000,,,0,0.118000,,,0,0.0808333,,,0,,,,,0.4500,,,0,,,,,0.03129,,,0,0.227,,,0,2.540,,,0,,,,,1
EPIC 206056433,2MASS J22204295-1315081,EPIC 206056433.01,,335.179047,0.000000,22h20m42.97s,-13.252261,0.000000,-13d15m08.1s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,,1,3,,,,,,,,,4418.00,,,0,,,,,,,,,,0.68,,,0,,,,,13.251,,0,14.868,0.030,0,13.651,0.034,0,,,,14.291,0.035,0,13.180,0.042,0,12.806,0.062,0,,,,11.554,0.029,0,10.998,0.027,0,10.836,0.021,0,10.742,0.022,0,10.825,0.021,0,10.713,0.104,0,8.412,,-1,1.217,0.045,0,0.556,0.040,0,0.162,0.034,0,0.718,0.036,0,,,28.56499400,,,0,2456998.795000,,,0,0.091400,,,0,0.1633333,,,0,,,,,0.6000,,,0,,,,,0.02852,,,0,0.201,,,0,2.250,,,0,,,,,1
